name,importance,reason,source_url,image_url,gender,species,hair_color,hair_style,hair_length,eye_style,eye_size,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,hero_level,evil_level,energy_level,confidence_level,match_tags,match_note
Gazelleman,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Gazelleman,https://static.wikia.nocookie.net/onepiece/images/4/4c/Gazelleman_Anime_Infobox.png/revision/latest?cb=20190901084649,male,human,blonde,spiky,short,round,large,square,happy,light,none,muscular,adult,3,7,1,6,8,9,1,8,9,"hero, muscular, happy, funny",재미있고 힘이 넘치는 캐릭터입니다.
Gecko Moria,8,major arc character,https://onepiece.fandom.com/wiki/Gecko_Moria,https://static.wikia.nocookie.net/onepiece/images/b/be/Gecko_Moria_Anime_Infobox.png/revision/latest?cb=20181127062446,male,human,black,spiky,short,sharp,medium,long,angry,pale,none,large,adult,1,5,8,2,9,1,8,7,9,"villain, powerful, dark, anime",강력한 악당의 느낌입니다.
Gladius,6,Recognizable member of the Donquixote Pirates,https://onepiece.fandom.com/wiki/Gladius,https://static.wikia.nocookie.net/onepiece/images/3/3d/Gladius_Anime_Infobox.png/revision/latest?cb=20231025224459,male,human,light blue,spiky,short,round,large,angular,neutral,pale,none,slim,adult,3,8,5,2,7,4,6,5,7,"anime, character, spiky hair, glasses",독특한 외모의 캐릭터입니다.
Going Merry,9,Iconic ship of the Straw Hat Pirates,https://onepiece.fandom.com/wiki/Going_Merry,https://static.wikia.nocookie.net/onepiece/images/4/41/Going_Merry_Infobox.png/revision/latest?cb=20240731210147,none,ship,,,,,,round,friendly,white,none,medium,timeless,8,5,0,6,4,7,0,5,6,"ship,cute,friendly",귀엽고 친근한 느낌입니다.
Gotti,6,Recognizable member of the Donquixote Pirates,https://onepiece.fandom.com/wiki/Gotti,https://static.wikia.nocookie.net/onepiece/images/a/a1/Gotti_Anime_Infobox.png/revision/latest?cb=20230123020057,male,human,purple,short,short,narrow,medium,square,angry,light,stubble,muscular,adult,2,7,5,3,8,4,6,7,9,"muscular, angry, purple hair, weapon",강력한 느낌의 캐릭터입니다.
Great Michael,6,Recognizable ship in the series,https://onepiece.fandom.com/wiki/Great_Michael,https://static.wikia.nocookie.net/onepiece/images/d/d3/Great_Michael_Manga_Infobox.png/revision/latest?cb=20150802010207,male,human,white,messy,long,round,medium,oval,smiling,light,full,large,middle-aged,3,5,2,6,7,4,1,5,6,"anime, character, whimsical",재미있는 캐릭터의 느낌입니다.
Hack,6,Recognizable character from Fish-Man Island,https://onepiece.fandom.com/wiki/Hack,https://static.wikia.nocookie.net/onepiece/images/4/43/Hack_Anime_Infobox.png/revision/latest?cb=20230214000914,male,human,light blue,wavy,long,narrow,medium,angular,serious,light,mustache,muscular,middle-aged,2,8,3,1,9,7,2,8,9,"muscular, serious, martial arts",강력한 전사 같은 느낌입니다.
Hajrudin,7,Important character in the Dressrosa arc,https://onepiece.fandom.com/wiki/Hajrudin,https://static.wikia.nocookie.net/onepiece/images/b/b8/Hajrudin_Anime_Infobox.png/revision/latest?cb=20240319195654,male,human,black,short,short,sunglasses,medium,square,serious,light,full,muscular,adult,2,8,3,1,9,7,2,6,9,"muscular,serious,warrior",강력한 전사 같은 느낌입니다.
Hanzo,6,Recognizable character from the Fish-Man Island arc.,https://onepiece.fandom.com/wiki/Hanzo,https://static.wikia.nocookie.net/onepiece/images/4/40/Hanzo_Anime_Infobox.png/revision/latest?cb=20220213141121,male,human,blonde,short,short,narrow,medium,round,determined,light,none,heavyset,young adult,3,5,2,4,6,5,1,7,6,"ninja, yellow, determined",강한 의지를 가진 캐릭터입니다.
Hatchan,6,Supporting character with a notable backstory.,https://onepiece.fandom.com/wiki/Hatchan,https://static.wikia.nocookie.net/onepiece/images/3/3d/Hatchan_Anime_Infobox.png/revision/latest?cb=20221003174139,male,human,light blue,spiky,short,round,large,square,confident,light,none,muscular,adult,3,7,1,5,9,6,2,8,9,"muscular, confident, spiky hair, anime",강력한 캐릭터의 느낌입니다.
Hina,6,Supporting character with a notable role.,https://onepiece.fandom.com/wiki/Hina,https://static.wikia.nocookie.net/onepiece/images/0/0d/Hina_Anime_Infobox.png/revision/latest?cb=20231125233601,female,human,blonde,straight,long,sharp,medium,oval,serious,light,none,slim,adult,3,8,4,2,7,5,3,6,9,"serious, stylish, confident",강렬한 분위기를 가지고 있습니다.
Hody Jones,8,Major antagonist with a significant role.,https://onepiece.fandom.com/wiki/Hody_Jones,https://static.wikia.nocookie.net/onepiece/images/f/f3/Hody_Jones_Anime_Infobox.png/revision/latest?cb=20230609234039,male,fishman,pink,curly,short,sharp,medium,angular,confident,light blue,none,muscular,adult,2,7,6,3,9,1,8,7,8,"muscular, confident, villain, fishman",강력한 악당의 느낌입니다.
Hogback,7,Important supporting character in the Thriller Bark arc.,https://onepiece.fandom.com/wiki/Hogback,https://static.wikia.nocookie.net/onepiece/images/4/4a/Hogback_Anime_Infobox.png/revision/latest?cb=20240720150902,male,human,black,spiky,short,round,medium,oval,smirking,light,none,large,adult,2,3,7,5,6,1,8,5,7,"anime, villain, quirky",독특한 악당의 느낌입니다.
Iceburg,7,important supporting character,https://onepiece.fandom.com/wiki/Iceburg,https://static.wikia.nocookie.net/onepiece/images/0/00/Iceburg_Anime_Infobox.png/revision/latest?cb=20230620131854,male,human,blue,slicked back,short,sharp,medium,angular,serious,light,stubble,muscular,adult,2,8,3,1,7,5,2,6,9,"stylish, serious, muscular",강렬한 인상입니다.
Ideo,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Ideo,https://static.wikia.nocookie.net/onepiece/images/3/30/Ideo_Anime_Infobox.png/revision/latest?cb=20140519060612,male,human,black,ponytail,medium,sharp,medium,angular,confident,light,stubble,muscular,young adult,2,8,3,2,9,7,1,8,9,"fighter, strong, confident, anime",강력한 전사 같은 느낌입니다.
Inazuma,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Inazuma,https://static.wikia.nocookie.net/onepiece/images/d/d8/Inazuma_Anime_Infobox.png/revision/latest?cb=20221031183404,male,human,"orange, white",curly,medium,round,medium,long,confident,light,none,slim,adult,3,7,2,5,6,4,3,8,9,"anime, colorful, stylish, eccentric",독특한 스타일의 캐릭터입니다.
Izou,7,important supporting character,https://onepiece.fandom.com/wiki/Izou,https://static.wikia.nocookie.net/onepiece/images/8/81/Izou_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20210919035558,male,human,black,styled,medium,sharp,medium,angular,serious,light,none,slim,young adult,2,8,5,1,7,6,2,6,9,"samurai, serious, stylish, powerful",강렬한 분위기를 가지고 있습니다.
Jaguar D. Saul,9,legendary character,https://onepiece.fandom.com/wiki/Jaguar_D._Saul,https://static.wikia.nocookie.net/onepiece/images/c/cc/Jaguar_D._Saul_Anime_Infobox.png/revision/latest?cb=20260531160654,male,human,orange,wavy,long,normal,medium,round,smiling,light,full,large,adult,3,6,1,5,8,7,1,7,9,"big, friendly, strong, humorous",강력하고 유머러스한 느낌입니다.
Jango,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Jango,https://static.wikia.nocookie.net/onepiece/images/d/de/Jango_Anime_Infobox.png/revision/latest?cb=20241006021207,male,human,light gray,long,medium,heart-shaped,large,oval,surprised,light,goatee,average,young adult,7,3,1,8,2,1,0,6,4,"anime, surprised, funny, heart-eyes",재미있는 캐릭터입니다.
Jesus Burgess,7,important supporting character,https://onepiece.fandom.com/wiki/Jesus_Burgess,https://static.wikia.nocookie.net/onepiece/images/4/43/Jesus_Burgess_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240128022349,male,human,purple,wavy,long,round,medium,square,smiling,light,full,muscular,adult,2,7,5,3,9,2,6,8,9,"muscular, smiling, villain, anime",강력한 악당의 느낌입니다.
Jinbe,9,main Straw Hat,https://onepiece.fandom.com/wiki/Jinbe,https://static.wikia.nocookie.net/onepiece/images/8/81/Jinbe_Anime_Infobox.png/revision/latest?cb=20170521201349,male,fishman,black,curly,short,round,medium,wide,neutral,blue,goatee,large,adult,3,6,2,4,8,7,1,5,7,"fishman, strong, unique, colorful",독특한 외모의 캐릭터입니다.
Joy Boy,9,very major recurring character,https://onepiece.fandom.com/wiki/Joy_Boy,https://static.wikia.nocookie.net/onepiece/images/5/5a/Joy_Boy_Anime_Infobox.png/revision/latest?cb=20251221044647,male,human,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,unknown,unknown,5,8,2,3,9,7,1,8,9,"heroic, mysterious, powerful",강력한 느낌이 듭니다.
Kaidou,10,main antagonist and iconic,https://onepiece.fandom.com/wiki/Kaidou,https://static.wikia.nocookie.net/onepiece/images/2/2d/Kaidou_Anime_Infobox.png/revision/latest?cb=20231102015517,male,human,black,long,very long,narrow,medium,square,serious,tan,full,muscular,adult,1,8,7,2,10,3,6,9,10,"muscular, serious, powerful, dark",강력한 느낌의 캐릭터입니다.
Kaku,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Kaku,https://static.wikia.nocookie.net/onepiece/images/0/09/Kaku_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20221127204534,male,human,blonde,short,short,round,large,oval,neutral,light,none,slim,young,3,4,1,5,2,3,1,4,5,"anime, character, funny, unique",독특한 외모의 캐릭터입니다.
Karasu,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Karasu,https://static.wikia.nocookie.net/onepiece/images/9/9a/Karasu_Anime_Infobox.png/revision/latest?cb=20190414113619,male,human,black,spiky,long,narrow,medium,angular,serious,pale,none,muscular,adult,2,8,9,1,9,3,7,8,9,"dark, powerful, serious, intimidating",강력한 느낌의 캐릭터입니다.
Keith,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Keith,https://static.wikia.nocookie.net/onepiece/images/5/56/Keith_Anime_Infobox.png/revision/latest?cb=20190804042058,male,human,brown,short,short,wide,medium,round,smiling,light,none,average,young,3,5,2,7,4,3,2,6,7,"smile, scarf, hat, mischievous",재미있는 캐릭터입니다.
Kelly Funk,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Kelly_Funk,https://static.wikia.nocookie.net/onepiece/images/f/f5/Kelly_Funk_Anime_Infobox.png/revision/latest?cb=20140331024327,male,human,black,spiky,short,angular,medium,square,confident,light,none,muscular,adult,2,8,3,4,9,7,1,8,9,"muscular, confident, fighter",강력한 느낌의 캐릭터입니다.
Kiku,7,important supporting character,https://onepiece.fandom.com/wiki/Kikunojo,https://static.wikia.nocookie.net/onepiece/images/1/12/Kikunojo_Anime_Infobox.png/revision/latest?cb=20200620104530,female,human,black,straight,long,large,big,oval,calm,light,none,slim,young,7,4,2,1,3,5,1,4,6,"anime, kimono, elegant, serene",아름답고 우아한 느낌입니다.
Kikunojo,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Kikunojo,https://static.wikia.nocookie.net/onepiece/images/1/12/Kikunojo_Anime_Infobox.png/revision/latest?cb=20200620104530,female,human,black,straight,long,large,big,oval,calm,light,none,slim,young,7,4,2,1,3,2,1,5,6,"anime, female, kimono, calm",차분한 분위기를 가지고 있습니다.
Killer,8,very popular recurring character,https://onepiece.fandom.com/wiki/Killer,https://static.wikia.nocookie.net/onepiece/images/7/70/Killer_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20210815025653,male,human,blonde,wavy,medium,hidden,unknown,muscular,determined,light,none,muscular,adult,2,8,5,1,9,6,3,7,8,"muscular, determined, anime",강력한 전사 같은 느낌입니다.
Kin'emon,8,major arc character,https://onepiece.fandom.com/wiki/Kin%27emon,https://static.wikia.nocookie.net/onepiece/images/e/ec/Kin%27emon_Anime_Infobox.png/revision/latest?cb=20191124100115,male,human,black,spiky,short,sharp,medium,square,serious,light,goatee,muscular,adult,2,8,3,1,9,7,1,8,9,"samurai, warrior, serious",강력한 전사 같은 느낌입니다.
King,9,very major recurring character,https://onepiece.fandom.com/wiki/King,https://static.wikia.nocookie.net/onepiece/images/8/8f/King_Anime_Infobox.png/revision/latest?cb=20230423142631,male,human,black,short,short,round,medium,square,serious,light,none,muscular,adult,2,8,7,1,9,6,4,7,8,"military, dark, powerful, serious",강력한 느낌의 캐릭터입니다.
Koala,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Koala,https://static.wikia.nocookie.net/onepiece/images/3/3d/Koala_Anime_Infobox.png/revision/latest?cb=20140928211728,female,human,blonde,wavy,medium,round,large,oval,smiling,light,none,slim,young,7,6,2,4,5,6,1,7,8,"anime,female,smiling,stylish",귀엽고 자신감 넘치는 모습입니다.
Kong,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Kong,https://static.wikia.nocookie.net/onepiece/images/6/6b/Kong_Anime_Infobox.png/revision/latest?cb=20220920203131,male,human,white,spiky,short,narrow,medium,square,serious,tan,goatee,muscular,adult,2,8,5,1,9,7,2,8,9,"strong, serious, warrior",강력한 전사 같은 느낌입니다.
Koza,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Koza,https://static.wikia.nocookie.net/onepiece/images/f/fa/Koza_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20171228110510,male,human,blonde,slicked back,short,narrow,medium,square,smirking,light,none,muscular,adult,2,8,5,3,7,4,3,6,9,"muscular, confident, smirking, stylish",강한 느낌의 캐릭터입니다.
Kozuki Hiyori,7,important supporting character,https://onepiece.fandom.com/wiki/Kouzuki_Hiyori,https://static.wikia.nocookie.net/onepiece/images/9/97/Kouzuki_Hiyori_Anime_Infobox.png/revision/latest?cb=20200811195812,female,human,blue,long,long,large,big,oval,calm,light,none,slim,young,8,5,1,2,4,6,1,5,7,"anime, colorful, traditional, elegant",아름답고 우아한 모습입니다.
Kozuki Oden,9,legendary character,https://onepiece.fandom.com/wiki/Kouzuki_Oden,https://static.wikia.nocookie.net/onepiece/images/7/7a/Kouzuki_Oden_Anime_Infobox.png/revision/latest?cb=20210425071747,male,human,black,long,medium,sharp,medium,angular,serious,light,goatee,muscular,adult,2,8,3,1,9,7,1,8,9,"warrior,strong,serious",강력한 전사 같은 느낌입니다.
Kozuki Toki,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Kouzuki_Toki,https://static.wikia.nocookie.net/onepiece/images/a/ad/Kouzuki_Toki_Anime_Infobox.png/revision/latest?cb=20240923154828,female,human,green,straight,long,large,big,oval,neutral,light,none,slim,young,8,5,1,2,6,7,1,5,6,"anime, female, green hair, kimono",아름답고 강한 느낌입니다.
Kuro,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Kuro,https://static.wikia.nocookie.net/onepiece/images/7/7e/Kuro_Anime_Infobox.png/revision/latest?cb=20231006042805,male,human,green,slicked back,short,sharp,medium,oval,serious,light,none,slim,adult,2,8,5,1,7,6,3,5,9,"serious, stylish, confident",강렬한 인상을 주는 캐릭터입니다.
Kuroobi,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Kuroobi,https://static.wikia.nocookie.net/onepiece/images/1/17/Kuroobi_Anime_Infobox.png/revision/latest?cb=20121220133817,male,human,black,ponytail,short,sharp,medium,angular,serious,light,none,muscular,adult,2,8,6,1,9,3,4,7,8,"muscular, serious, warrior",강력한 전사 같은 느낌입니다.
Kurozumi Kanjuro,7,important supporting character,https://onepiece.fandom.com/wiki/Kurozumi_Kanjuro,https://static.wikia.nocookie.net/onepiece/images/a/ad/Kurozumi_Kanjuro_Anime_Infobox.png/revision/latest?cb=20150503144042,male,human,red,spiky,long,sharp,medium,angular,grinning,pale,none,slim,adult,2,3,5,4,6,1,7,8,7,"anime, villain, colorful, exaggerated",비주얼이 독특하고 강렬하다.
Kurozumi Orochi,8,major arc character,https://onepiece.fandom.com/wiki/Kurozumi_Orochi,https://static.wikia.nocookie.net/onepiece/images/4/49/Kurozumi_Orochi_Anime_Infobox.png/revision/latest?cb=20230911061118,male,human,purple,spiky,short,sharp,medium,round,angry,light,none,large,middle-aged,1,2,8,3,7,1,9,6,8,"anime, villain, angry, colorful",강렬한 악당의 모습입니다.
Kuzan,8,major arc character,https://onepiece.fandom.com/wiki/Kuzan,https://static.wikia.nocookie.net/onepiece/images/d/d6/Kuzan_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240811021341,male,human,black,curly,medium,round,medium,angular,serious,light,none,muscular,adult,2,8,5,3,9,6,2,7,8,"cool, serious, muscular, adult",강력한 느낌의 캐릭터입니다.
Kyros,7,important supporting character,https://onepiece.fandom.com/wiki/Kyros,https://static.wikia.nocookie.net/onepiece/images/c/c4/Kyros_Anime_Infobox.png/revision/latest?cb=20221018190117,male,human,black,curly,short,sharp,medium,angular,serious,light,goatee,muscular,adult,2,8,4,1,9,7,2,8,9,"warrior,strong,serious",강력한 전사 같은 느낌입니다.
Lindbergh,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Lindbergh,https://static.wikia.nocookie.net/onepiece/images/e/e1/Lindbergh_Anime_Infobox.png/revision/latest?cb=20190414113604,male,human,blue,spiky,medium,round,large,oval,joyful,light,none,slim,young,7,6,2,8,5,4,1,9,7,"anime, character, joyful, quirky",재미있고 활기찬 느낌입니다.
Lord of the Coast,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Lord_of_the_Coast,https://static.wikia.nocookie.net/onepiece/images/a/a5/Lord_of_the_Coast_Anime_Infobox.png/revision/latest?cb=20240723123231,male,mythical creature,none,none,none,sharp,medium,angular,menacing,dark,none,large,ancient,0,8,9,0,10,0,8,7,9,"mythical, powerful, menacing",강력한 존재의 느낌입니다.
Lucky Roux,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Lucky_Roux,https://static.wikia.nocookie.net/onepiece/images/5/59/Lucky_Roux_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20220613165554,male,human,blonde,long,medium,round,large,round,happy,light,none,fat,adult,5,3,1,7,4,2,1,6,8,"anime, character, happy, food",재미있는 캐릭터입니다.
Magellan,8,major arc character and popular,https://onepiece.fandom.com/wiki/Magellan,https://static.wikia.nocookie.net/onepiece/images/9/9e/Magellan_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251102163212,male,human,black,spiky,short,narrow,medium,angular,angry,light,full,muscular,adult,1,8,9,2,9,2,8,7,9,"villain, muscular, dark, powerful",강력한 악당의 느낌입니다.
Makino,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Makino,https://static.wikia.nocookie.net/onepiece/images/5/5a/Makino_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240914133612,female,human,green,long,medium,round,medium,oval,calm,light,none,slim,young adult,6,5,1,2,4,5,1,4,6,"motherly, caring, gentle",부드러운 느낌의 캐릭터입니다.
Mansherry,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Mansherry,https://static.wikia.nocookie.net/onepiece/images/5/54/Mansherry_Anime_Infobox.png/revision/latest?cb=20161221094836,female,human,blonde,curly,long,large,big,round,sad,light,none,petite,young,9,2,1,3,1,2,1,4,3,"cute, sad, young, blonde",귀엽고 슬픈 느낌이에요.
Marshall D. Teach,10,main antagonist and iconic,https://onepiece.fandom.com/wiki/Marshall_D._Teach,https://static.wikia.nocookie.net/onepiece/images/f/ff/Marshall_D._Teach_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240128044952,male,human,black,long,long,sharp,medium,round,smirking,light,full,large,adult,2,6,8,4,9,1,9,7,8,"pirate, villain, muscular, confident",강력한 악당의 느낌입니다.
Masira,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Masira,https://static.wikia.nocookie.net/onepiece/images/e/e0/Masira_Anime_Infobox.png/revision/latest?cb=20230904222812,male,human,black,spiky,short,round,large,square,confident,light,none,muscular,adult,2,7,1,3,8,6,1,7,9,"muscular, confident, spiky hair, round eyes",강력한 느낌의 캐릭터입니다.
Master,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Master,https://static.wikia.nocookie.net/onepiece/images/a/a8/Master_Anime_Infobox.png/revision/latest?cb=20241118153042,male,human,orange,long,medium,round,large,square,angry,light,none,muscular,adult,1,3,2,4,7,2,5,6,8,"angry, muscular, orange hair, anime",강렬한 인상입니다.
Megalo,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Megalo,https://static.wikia.nocookie.net/onepiece/images/9/96/Megalo_Anime_Infobox.png/revision/latest?cb=20120122084511,male,shark,black,none,none,round,medium,wide,smiling,light gray,none,large,young,6,5,2,7,8,4,1,7,6,"shark, cartoon, funny, cute",귀엽고 유머러스한 느낌입니다.
Merry,7,important supporting character,https://onepiece.fandom.com/wiki/Merry,https://static.wikia.nocookie.net/onepiece/images/b/ba/Merry_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251026160814,male,human,white,curly,short,round,large,oval,neutral,light,light stubble,slim,adult,4,3,1,5,2,1,0,3,4,"curly hair, suit, round eyes, light stubble",귀여운 외모입니다.
Misery,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Misery,https://static.wikia.nocookie.net/onepiece/images/7/7c/Misery_Anime_Infobox.png/revision/latest?cb=20230625052545,female,spirit,orange,wavy,long,sharp,narrow,angular,menacing,light blue,none,slender,adult,2,8,9,1,10,1,9,8,9,"spirit, menacing, powerful, wavy hair",강력한 악의 존재입니다.
Miss Catherina,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Miss_Catherina,https://static.wikia.nocookie.net/onepiece/images/1/15/Miss_Catherina_Anime_Infobox.png/revision/latest?cb=20240712024031,female,human,black,covered,short,round,medium,oval,happy,light,none,average,adult,7,3,1,5,2,4,1,6,5,"nun, happy, cheerful, kind",아주 친절한 느낌입니다.
Miyagi,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Miyagi,https://static.wikia.nocookie.net/onepiece/images/d/d6/Miyagi_Anime_Infobox.png/revision/latest?cb=20231119134504,male,goat,white,curly,medium,round,medium,round,neutral,light,long,chubby,middle,6,3,1,5,2,1,0,4,5,"goat, scientist, quirky",귀엽고 독특한 느낌입니다.
Mocha,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Mocha,https://static.wikia.nocookie.net/onepiece/images/9/94/Mocha_Anime_Infobox.png/revision/latest?cb=20130814011520,female,human,black,curly,short,round,large,round,angry,light,none,slim,child,5,3,2,4,6,4,1,7,6,"angry, child, curly hair, round face",귀여운 어린이 캐릭터입니다.
Mohji,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Mohji,https://static.wikia.nocookie.net/onepiece/images/0/09/Mohji_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20200821151313,male,human,white,short,short,round,medium,round,serious,light,none,heavyset,adult,2,1,0,5,3,0,1,4,3,"funny, serious, heavyset",재미있는 외모입니다.
Momonga,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Momonga,https://static.wikia.nocookie.net/onepiece/images/e/e8/Momonga_Anime_Infobox.png/revision/latest?cb=20221101021448,male,human,white,short,short,narrow,medium,square,serious,light,mustache,muscular,middle-aged,1,8,5,2,9,6,3,7,9,"military, authority, serious, powerful",강력한 카리스마를 가진 캐릭터입니다.
Monet,7,important supporting character,https://onepiece.fandom.com/wiki/Monet,https://static.wikia.nocookie.net/onepiece/images/9/98/Monet_Anime_Infobox.png/revision/latest?cb=20140616000310,female,human-bird hybrid,green,wavy,medium,sharp,medium,oval,happy,light,none,athletic,young adult,6,7,2,5,8,4,1,9,8,"green hair, wings, athletic, happy",매우 활기차고 즐거운 느낌입니다.
Monkey D. Dragon,9,major character and leader of the Revolutionary Army,https://onepiece.fandom.com/wiki/Monkey_D._Dragon,https://static.wikia.nocookie.net/onepiece/images/f/f5/Monkey_D._Dragon_Anime_Infobox.png/revision/latest?cb=20250621010227,male,human,black,spiky,medium,narrow,medium,angular,serious,light,stubble,muscular,adult,2,8,7,1,9,5,4,6,8,"serious,muscular,spiky hair",강력한 느낌의 캐릭터입니다.
Monkey D. Garp,8,legendary Marine and important to Luffy's backstory,https://onepiece.fandom.com/wiki/Monkey_D._Garp,https://static.wikia.nocookie.net/onepiece/images/e/e1/Monkey_D._Garp_Anime_Infobox.png/revision/latest?cb=20230207160645,male,human,gray,short,short,round,medium,square,smiling,light,stubble,muscular,older,2,7,1,5,9,8,1,8,9,"strong, leader, confident",강력한 리더의 느낌입니다.
Mont Blanc Cricket,6,supporting character with a notable backstory,https://onepiece.fandom.com/wiki/Mont_Blanc_Cricket,https://static.wikia.nocookie.net/onepiece/images/f/f9/Mont_Blanc_Cricket_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251116160951,male,human,black,spiky,short,sharp,medium,square,smirk,light,goatee,muscular,adult,2,7,3,4,8,5,2,6,9,"muscular, confident, pirate, spiky hair",강력한 느낌의 캐릭터입니다.
Morgan,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Morgan,https://static.wikia.nocookie.net/onepiece/images/e/e5/Morgan_Anime_Infobox.png/revision/latest?cb=20160802223743,male,human,blonde,spiky,short,narrow,medium,square,angry,tan,none,muscular,adult,2,8,5,1,9,6,3,8,9,"muscular,angry,blonde,spiky",강력한 느낌의 캐릭터입니다.
Bentham,6,Recognizable character with a unique ability.,https://onepiece.fandom.com/wiki/Bentham,https://static.wikia.nocookie.net/onepiece/images/0/0e/Bentham_Anime_Infobox.png/revision/latest?cb=20160929070742,male,human,black,short,short,large,big,oval,cheerful,light,none,slim,young,7,4,1,8,3,2,1,6,5,"anime, colorful, flamboyant, cheerful",재미있고 화려한 느낌입니다.
Black Maria,8,Major arc character and antagonist in Wano.,https://onepiece.fandom.com/wiki/Black_Maria,https://static.wikia.nocookie.net/onepiece/images/e/e2/Black_Maria_Anime_Infobox.png/revision/latest?cb=20210808144206,female,human,blonde,long,long,sharp,medium,oval,confident,light,none,slim,young,4,8,6,2,7,3,5,6,9,"elegant, powerful, confident",강력한 분위기를 가지고 있습니다.
Bluejam,6,Recognizable character with a notable backstory.,https://onepiece.fandom.com/wiki/Bluejam,https://static.wikia.nocookie.net/onepiece/images/f/ff/Bluejam_Anime_Infobox.png/revision/latest?cb=20160827000919,male,human,black,long,medium,simple,medium,square,smiling,light,none,muscular,adult,2,7,3,5,8,4,6,7,9,"muscular, confident, smiling, villain",강력한 악당의 느낌입니다.
Boa Marigold,6,Supporting character and sister of Boa Hancock.,https://onepiece.fandom.com/wiki/Boa_Marigold,https://static.wikia.nocookie.net/onepiece/images/6/6c/Boa_Marigold_Anime_Infobox.png/revision/latest?cb=20150903140509,female,human,orange,curly,long,sharp,medium,round,angry,light,none,curvy,adult,4,6,2,3,7,5,3,6,8,"anime,female,curly hair,angry",강력한 여성 캐릭터입니다.
Boa Sandersonia,6,Supporting character and sister of Boa Hancock.,https://onepiece.fandom.com/wiki/Boa_Sandersonia,https://static.wikia.nocookie.net/onepiece/images/8/8c/Boa_Sandersonia_Anime_Infobox.png/revision/latest?cb=20141017161424,female,human,green,wavy,long,sharp,medium,round,smirking,light,none,slim,young,5,7,2,3,8,4,3,6,9,"anime,female,green hair,smirking",강한 자신감을 가진 캐릭터입니다.
Bogard,6,Supporting character and ally of the Marines.,https://onepiece.fandom.com/wiki/Bogard,https://static.wikia.nocookie.net/onepiece/images/4/47/Bogard_Anime_Infobox.png/revision/latest?cb=20240127015647,male,human,gray,slicked back,short,narrow,medium,angular,serious,light,none,muscular,adult,2,8,5,1,7,6,3,6,9,"detective, stylish, serious",강력한 카리스마를 가진 캐릭터입니다.
Borsalino,9,Very major character and one of the Marine Admirals.,https://onepiece.fandom.com/wiki/Borsalino,https://static.wikia.nocookie.net/onepiece/images/1/14/Borsalino_Anime_Infobox.png/revision/latest?cb=20190603023753,male,human,black,curly,short,round,medium,round,smiling,light,light stubble,tall,middle-aged,2,6,1,5,7,4,2,6,8,"anime, character, stylish, confident",스타일이 독특한 캐릭터입니다.
